Designator,Mid X,Mid Y,Layer,Rotation
J1,-45.5,-33.75,bottom,90
J2,-24.75,-34,bottom,0
J3,-293,-31.25,bottom,-90
J4,-313.25,-31,bottom,180
D1,21,-32.5,top,90
D2,124.6,-32.5,top,90
D3,228.2,-32.5,top,90
D4,35.8,-32.5,top,90
D5,139.4,-32.5,top,90
D6,243,-32.5,top,90
D7,50.6,-32.5,top,90
D8,154.2,-32.5,top,90
D9,257.8,-32.5,top,90
D10,65.4,-32.5,top,90
D11,169,-32.5,top,90
D12,272.6,-32.5,top,90
D13,80.2,-32.5,top,90
D14,183.8,-32.5,top,90
D15,287.4,-32.5,top,90
D16,95,-32.5,top,90
D17,198.6,-32.5,top,90
D18,302.2,-32.5,top,90
D19,109.8,-32.5,top,90
D20,213.4,-32.5,top,90
D21,317,-32.5,top,90
R1,40.5,-32.5,top,90
R2,250.25,-32.5,top,90
R3,147,-32.5,top,90
R4,297.75,-32.5,top,90
R5,87.25,-32.5,top,90
R6,191,-32.5,top,90
