Designator,Mid X,Mid Y,Layer,Rotation
J1,-44.5,-34.25,bottom,90
J2,-24.25,-34.29,bottom,0
J3,-192.5,-31.75,bottom,-90
J4,-212.75,-31.75,bottom,180
D1,20.5,-33,top,90
D2,126.038461,-33,top,90
D3,35.576923,-33,top,90
D4,141.115384,-33,top,90
D5,50.653846,-33,top,90
D6,156.192307,-33,top,90
D7,65.730769,-33,top,90
D8,171.26923,-33,top,90
D9,80.807692,-33,top,90
D10,186.346153,-33,top,90
D11,95.884615,-33,top,90
D12,201.423076,-33,top,90
D13,110.961538,-33,top,90
D14,216.5,-33,top,90
R1,40.25,-33,top,90
R2,148.5,-33,top,90
R3,88,-33,top,90
R4,196.5,-33,top,90
